
Tue Jul 14 09:57:22 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:23 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:58:26 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:58:27 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:59:01 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:01:23 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:01:27 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:01:28 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:01:29 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:01:30 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:01:31 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:01:31 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:01:32 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:01:33 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:05:01 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:05:02 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:05:02 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:05:03 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:05:04 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:05:08 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:05:27 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:05:28 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:05:29 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:05:30 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:05:30 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:05:30 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:05:31 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:05:32 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:05:33 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:05:36 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:00 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:02 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:03 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:05 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:05 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:06 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:07 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:08 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:09 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:09 2020, board: 1, dev: 4, status: On
